"0005"!#""!#"0005__15184"!#"1"!#"1"!#"AQUARELLE"!#"33 LOGEMENTS/BÂTIMENT 1"!#"24"!#"3"!#",00"!#",00"!#"0"!#"0"!#"0"!#"202204"!#"0"!#"0"!#"201809"!#"0"!#"O"!#"01"!#"N"!#"0"!#""!#""!#""!#""!#""!#""
"0005"!#""!#"0005__15184"!#"3"!#"1"!#"AQUARELLE"!#"9 MAISONS INDIVIDUELLES"!#"24"!#"2"!#",00"!#",00"!#"0"!#"0"!#"0"!#"202204"!#"0"!#"0"!#"201809"!#"0"!#"O"!#"01"!#"N"!#"0"!#""!#""!#""!#""!#""!#""
"0005"!#""!#"0005__15192"!#"1"!#"3"!#"LE CLOS DE LA GARE"!#"ILOT GARE ACCESSION"!#"24"!#"2"!#",00"!#",00"!#"0"!#"0"!#"0"!#"202201"!#"0"!#"0"!#"201904"!#"0"!#"O"!#"01"!#"N"!#"0"!#""!#""!#""!#""!#""!#""
"0005"!#""!#"0005__15192"!#"3"!#"3"!#"LE CLOS DE LA GARE"!#"ILOT CLOS MADAME"!#"24"!#"4"!#",00"!#",00"!#"0"!#"0"!#"0"!#"202201"!#"0"!#"0"!#"201904"!#"0"!#"O"!#"01"!#"N"!#"0"!#""!#""!#""!#""!#""!#""
"0005"!#""!#"0005__15197"!#"1"!#"2"!#"BATIMENT 4 ET 5"!#"BATIMENT 5 24 LOGEMENTS"!#"00"!#"1"!#",00"!#"2954,00"!#"0"!#"0"!#"0"!#"202102"!#"0"!#"0"!#"201711"!#"0"!#"O"!#"01"!#"O"!#"0"!#""!#""!#""!#""!#""!#""
"0005"!#""!#"0005__15197"!#"4"!#"2"!#"BATIMENT 1 + LOCAL PUB"!#"BATIMENT 1 22 LOGEMENTS"!#"00"!#"1"!#",00"!#",00"!#"0"!#"0"!#"0"!#"202102"!#"0"!#"0"!#"201801"!#"0"!#"O"!#"01"!#"O"!#"0"!#""!#""!#""!#""!#""!#""
"0005"!#""!#"0005__15208"!#"4"!#"2"!#"COTTAGES"!#"CARRIERE ACC"!#"24"!#"1"!#",00"!#"911,00"!#"0"!#"0"!#"0"!#"202201"!#"0"!#"0"!#"201809"!#"0"!#"O"!#"01"!#"N"!#"0"!#""!#""!#""!#""!#""!#""
"0005"!#""!#"0005__15213"!#"4"!#"3"!#"LE CLOS DU PARC"!#"INTERMEDIAIRE ACC - 11 LOTS"!#"24"!#"2"!#",00"!#",00"!#"0"!#"0"!#"0"!#"202201"!#"0"!#"0"!#"201906"!#"0"!#"O"!#"01"!#"N"!#"0"!#""!#""!#""!#""!#""!#""
"0005"!#""!#"0005__15216"!#"1"!#"2"!#"NATURE & SENS"!#"COLLECTIF ACCESSION"!#"24"!#"3"!#"2878000,00"!#"818,00"!#"0"!#"0"!#"0"!#"202201"!#"0"!#"0"!#"201909"!#"0"!#"O"!#"01"!#"N"!#"0"!#""!#""!#""!#""!#""!#""
"0005"!#""!#"0005__15216"!#"2"!#"1"!#"NATURE & SENS"!#"MI ACC"!#"24"!#"1"!#"4315000,00"!#"1308,00"!#"0"!#"0"!#"0"!#"202201"!#"0"!#"0"!#"201909"!#"0"!#"O"!#"01"!#"N"!#"0"!#""!#""!#""!#""!#""!#""
"0005"!#""!#"0005__15223"!#"2"!#"2"!#"LE JARDIN DES ARTS"!#"INTERMEDIAIRES"!#"24"!#"1"!#",00"!#",00"!#"0"!#"0"!#"0"!#"202103"!#"0"!#"0"!#"201904"!#"0"!#"N"!#"01"!#"N"!#"0"!#""!#""!#""!#""!#""!#""
"0005"!#""!#"0005__15231"!#"2"!#"1"!#"L'ECRIN D'ECHARCON"!#"MAISON ACCESSION - 11 LOTS"!#"24"!#"1"!#",00"!#",00"!#"0"!#"0"!#"0"!#"202301"!#"0"!#"0"!#"202011"!#"0"!#"O"!#"01"!#"N"!#"0"!#""!#""!#""!#""!#""!#""
"0005"!#""!#"0005__15231"!#"3"!#"1"!#"L'ECRIN D'ECHARCON"!#"MAISONS ACCESSION - 29 LOTS"!#"24"!#"10"!#",00"!#",00"!#"0"!#"0"!#"0"!#"202301"!#"0"!#"0"!#"202011"!#"0"!#"O"!#"01"!#"N"!#"0"!#""!#""!#""!#""!#""!#""
"0005"!#""!#"0005__15243"!#"5"!#"2"!#"LOT C"!#"COLLECTIF ACCESSION LOT C"!#"24"!#"20"!#",00"!#",00"!#"0"!#"0"!#"0"!#"202302"!#"0"!#"0"!#"202010"!#"0"!#"O"!#"01"!#"N"!#"0"!#""!#""!#""!#""!#""!#""
"0005"!#""!#"0005__16009"!#"2"!#"1"!#"UNITE"!#"ACCESSION 27 MAISONS"!#"24"!#"6"!#",00"!#",00"!#"0"!#"0"!#"0"!#"202302"!#"0"!#"0"!#"201910"!#"0"!#"O"!#"01"!#"N"!#"0"!#""!#""!#""!#""!#""!#""
"0005"!#""!#"0005__16009"!#"4"!#"3"!#"PONTAULT COMBAULT LIBERATION"!#"ACCESSION  BAT 5 / 6"!#"24"!#"15"!#",00"!#",00"!#"0"!#"0"!#"0"!#"202302"!#"0"!#"0"!#"201910"!#"0"!#"O"!#"01"!#"N"!#"0"!#""!#""!#""!#""!#""!#""
"0005"!#""!#"0005__16017"!#"1"!#"1"!#"CÔTÉ FAUBOURG"!#"ACCESSION MAISON INDIVIDUELLE"!#"24"!#"3"!#",00"!#"2136,00"!#"0"!#"0"!#"0"!#"202303"!#"0"!#"0"!#"202011"!#"0"!#"O"!#"01"!#"N"!#"0"!#""!#""!#""!#""!#""!#""
"0005"!#""!#"0005__16017"!#"2"!#"2"!#"CÔTÉ FAUBOURG"!#"BATIMENT 3 -  46 LGTS"!#"24"!#"15"!#",00"!#"2555,00"!#"0"!#"0"!#"0"!#"202304"!#"0"!#"0"!#"202011"!#"0"!#"O"!#"01"!#"N"!#"0"!#""!#""!#""!#""!#""!#""
"0005"!#""!#"0005__16017"!#"3"!#"2"!#"CÔTÉ FAUBOURG"!#"BATIMENT 4 - 12 LGTS"!#"24"!#"2"!#",00"!#"625,00"!#"0"!#"0"!#"0"!#"202304"!#"0"!#"0"!#"202011"!#"0"!#"O"!#"01"!#"N"!#"0"!#""!#""!#""!#""!#""!#""
"0005"!#""!#"0005__16017"!#"8"!#"2"!#"COTE FAUBOURG"!#"BATIMENT 2  - 48 LGTS"!#"24"!#"5"!#"10491000,00"!#"2636,00"!#"0"!#"0"!#"0"!#"202401"!#"0"!#"0"!#"202102"!#"0"!#"O"!#"01"!#"N"!#"0"!#""!#""!#""!#""!#""!#""
"0005"!#""!#"0005__16018"!#"1"!#"2"!#"INITI'O"!#"ACCESSION (30 LOGEMENTS)"!#"20"!#"9"!#"5197,00"!#"1496,00"!#"0"!#"0"!#"0"!#"202302"!#"0"!#"0"!#"202006"!#"0"!#"O"!#"01"!#"O"!#"0"!#""!#""!#""!#""!#""!#""
"0005"!#""!#"0005__17011"!#"1"!#"2"!#"LA RESIDENCE L'OREE"!#"BAT A ACCESSION"!#"24"!#"3"!#"5850000,00"!#"1748,00"!#"0"!#"0"!#"0"!#"202203"!#"0"!#"0"!#"201909"!#"0"!#"O"!#"01"!#"N"!#"0"!#""!#""!#""!#""!#""!#""
"0005"!#""!#"0005__17017"!#"1"!#"2"!#"LES TERRASSES DE L'OISE"!#"ACCESSION - 56 LOTS"!#"20"!#"2"!#",00"!#"3099,00"!#"0"!#"0"!#"0"!#"202204"!#"0"!#"0"!#"201906"!#"0"!#"O"!#"01"!#"O"!#"0"!#""!#""!#""!#""!#""!#""
"0005"!#""!#"0005__17018"!#"6"!#"2"!#"TERRA NOVA"!#"ABC - COLLECTIF ACCESSION"!#"24"!#"1"!#",00"!#"2808,00"!#"0"!#"0"!#"0"!#"202301"!#"0"!#"0"!#"202010"!#"0"!#"O"!#"01"!#"N"!#"0"!#""!#""!#""!#""!#""!#""
"0010"!#""!#"0010__05944"!#"1"!#"2"!#"I.D"!#"BAT A1 - 44LOGTS + 47PK"!#"24"!#"1"!#",00"!#",00"!#"0"!#"0"!#"0"!#"202202"!#"0"!#"0"!#"201903"!#"0"!#"O"!#"01"!#"N"!#"0"!#""!#""!#""!#""!#""!#""
"0010"!#""!#"0010__05944"!#"2"!#"2"!#"BAT A2 - 44LOG + 46PK"!#"BAT A2 - 44LOGTS + 46PK"!#"24"!#"1"!#",00"!#",00"!#"0"!#"0"!#"0"!#"202203"!#"0"!#"0"!#"201908"!#"0"!#"O"!#"01"!#"N"!#"0"!#""!#""!#""!#""!#""!#""
"0010"!#""!#"0010__05944"!#"3"!#"2"!#"ID"!#"BAT B - 42LOGT"!#"24"!#"10"!#",00"!#",00"!#"0"!#"0"!#"0"!#"202204"!#"0"!#"0"!#"202003"!#"0"!#"O"!#"01"!#"N"!#"0"!#""!#""!#""!#""!#""!#""
"0010"!#""!#"0010__06253"!#"5"!#"7"!#"LES JARDINS DE JADE"!#"STATIONNEMENT SOUS SOL N1 ET N2"!#"04"!#"11"!#",00"!#",00"!#"0"!#"0"!#"0"!#"201302"!#"0"!#"0"!#"201101"!#"0"!#"N"!#"01"!#"N"!#"0"!#""!#""!#""!#""!#""!#""
"0010"!#""!#"0010__08167"!#"3"!#"7"!#"SOUS SOL -2 BOX / PLACES PRIVAT"!#"SOUS SOL -2 BOX / PLACES PRIVAT"!#"04"!#"1"!#",00"!#",00"!#"0"!#"0"!#"0"!#"201103"!#"0"!#"0"!#"200710"!#"0"!#"O"!#"01"!#"N"!#"0"!#""!#""!#""!#""!#""!#""
"0010"!#""!#"0010__08167"!#"4"!#"7"!#"SOUS SOL -3 BOX / PLACES PRIVAT"!#"SOUS SOL -3 BOX / PLACES PRIVAT"!#"04"!#"1"!#",00"!#",00"!#"0"!#"0"!#"0"!#"201103"!#"0"!#"0"!#"200710"!#"0"!#"O"!#"01"!#"N"!#"0"!#""!#""!#""!#""!#""!#""
"0010"!#""!#"0010__08172"!#"3"!#"7"!#"LE CLOS DU MOULIN"!#"STATIONNEMENTS"!#"24"!#"1"!#",00"!#",00"!#"0"!#"0"!#"0"!#"201802"!#"0"!#"0"!#"201403"!#"0"!#"O"!#"01"!#"N"!#"0"!#""!#""!#""!#""!#""!#""
"0010"!#""!#"0010__08199"!#"15"!#"7"!#"LE PARC DES 4 SAISONS"!#"BAT E - STATIONNEMENTS"!#"04"!#"1"!#",00"!#",00"!#"0"!#"0"!#"0"!#"201504"!#"0"!#"0"!#"201306"!#"0"!#"N"!#"01"!#"N"!#"0"!#""!#""!#""!#""!#""!#""
"0010"!#""!#"0010__10011"!#"4"!#"2"!#"DOMAINE DU BLANC COULOMBIER"!#"PARKING SOUS SOL BATS A/B"!#"24"!#"1"!#",00"!#",00"!#"0"!#"0"!#"0"!#"201702"!#"0"!#"0"!#"201503"!#"0"!#"O"!#"01"!#"N"!#"0"!#""!#""!#""!#""!#""!#""
