"0005"!#""!#"0005__15263"!#"1"!#"2"!#"GAÏA"!#"28 LOTS ACCESSION"!#"24"!#"10"!#",00"!#",00"!#"0"!#"0"!#"0"!#"202304"!#"0"!#"0"!#"202105"!#"0"!#"O"!#"01"!#"N"!#"0"!#""!#""!#""!#""!#""!#""
"0005"!#""!#"0005__16009"!#"4"!#"3"!#"PONTAULT COMBAULT LIBERATION"!#"ACCESSION  BAT 5 / 6"!#"24"!#"5"!#",00"!#",00"!#"0"!#"0"!#"0"!#"202302"!#"0"!#"0"!#"201910"!#"0"!#"O"!#"01"!#"N"!#"0"!#""!#""!#""!#""!#""!#""
"0005"!#""!#"0005__16018"!#"1"!#"2"!#"INITI'O"!#"ACCESSION (30 LOGEMENTS)"!#"20"!#"4"!#"5197,00"!#"1496,00"!#"0"!#"0"!#"0"!#"202302"!#"0"!#"0"!#"202006"!#"0"!#"O"!#"01"!#"O"!#"0"!#""!#""!#""!#""!#""!#""
"0005"!#""!#"0005__16029"!#"1"!#"2"!#"MYPARISIS"!#"BAT1 ACCESSION 16 LOTS"!#"24"!#"3"!#"3353000,00"!#"751,00"!#"0"!#"0"!#"0"!#"202402"!#"0"!#"0"!#"202110"!#"0"!#"O"!#"01"!#"N"!#"0"!#""!#""!#""!#""!#""!#""
"0005"!#""!#"0005__16031"!#"1"!#"2"!#"GINKGO"!#"BAT 1 ACC - 53 LGTS ET 1 COM"!#"20"!#"42"!#"12008000,00"!#"4154,00"!#"0"!#"0"!#"0"!#"202404"!#"0"!#"0"!#"202111"!#"0"!#"O"!#"01"!#"O"!#"0"!#""!#""!#""!#""!#""!#""
"0005"!#""!#"0005__16032"!#"1"!#"1"!#"CÔTÉ FAUBOURG"!#"ACCESSION MAISON INDIVIDUELLE"!#"24"!#"5"!#",00"!#"2136,00"!#"0"!#"0"!#"0"!#"202303"!#"0"!#"0"!#"202011"!#"0"!#"O"!#"01"!#"N"!#"0"!#""!#""!#""!#""!#""!#""
"0005"!#""!#"0005__16032"!#"2"!#"2"!#"CÔTÉ FAUBOURG"!#"BATIMENT 3 -  46 LGTS"!#"24"!#"3"!#",00"!#"2555,00"!#"0"!#"0"!#"0"!#"202304"!#"0"!#"0"!#"202011"!#"0"!#"O"!#"01"!#"N"!#"0"!#""!#""!#""!#""!#""!#""
"0005"!#""!#"0005__16032"!#"8"!#"2"!#"COTE FAUBOURG"!#"BATIMENT 2  - 48 LGTS"!#"24"!#"1"!#"10491000,00"!#"2636,00"!#"0"!#"0"!#"0"!#"202401"!#"0"!#"0"!#"202102"!#"0"!#"O"!#"01"!#"N"!#"0"!#""!#""!#""!#""!#""!#""
"0005"!#""!#"0005__17017"!#"1"!#"2"!#"LES TERRASSES DE L'OISE"!#"ACCESSION - 51 LOTS"!#"20"!#"2"!#",00"!#"3099,00"!#"0"!#"0"!#"0"!#"202401"!#"0"!#"0"!#"201906"!#"0"!#"O"!#"01"!#"O"!#"0"!#""!#""!#""!#""!#""!#""
"0005"!#""!#"0005__17019"!#"1"!#"2"!#"INTERMÉDIAIRE 1"!#"INTERMÉDIAIRE 1"!#"24"!#"3"!#",00"!#"251,00"!#"0"!#"0"!#"0"!#"202401"!#"0"!#"0"!#"202106"!#"0"!#"O"!#"01"!#"N"!#"0"!#""!#""!#""!#""!#""!#""
